,,,4C- slam try (probably no shortage),cue bid
,,,4D- RCKB (for clubs),Appendix 4
,,,4H/4S- 6-5 limited,
,,,4NT- invitational with likely 5332,
,,,,
,,,,
,,,,
,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?
,,,,
1NT,2NT,3C – denies Hxx or better in diamonds,Pass- weak 5-5 in minors,
14-16pts balanced,shows diamonds (5 good or 6+),,3D- to play,
,,,3H- shortage (denies 4 clubs but may Have 4 spades with 5 good or 6 diamonds),3S- natural
,(could be weak 5-5 in minors),,,3NT- natural
,,,3S- shortage (denies a second suit),Natural
,,,3NT- to play,
,,,4C- RKCB (for diamonds),Appendix 4
,,,4D- slam try (probably no shortage),cue bid
,,,4H/4S- 6-5 limited,
,,,4NT- invitational with likely 5332,
,,,,
,,3D- promises Hxx or better in diamonds,Pass- weak,
,,,3H- shortage (denies 4 clubs but may Have 4 spades with 5 good or 6 diamonds),3S- natural
,,,,3NT- natural
,,,3S- shortage (denies a second suit),Natural
,,,3NT- to play,
,,,4D- slam try (probably no shortage),cue bid
,,,4C- RCKB (for diamonds),Appendix 4
,,,4H/4S- 6-5 limited,
,,,4NT- invitational with likely 5332,
,,,,
,,,,
1NT,3C,3D- asks for responders 5+ card minor,3H(C)/3S(D)- shows minor (5431/6421 shape),3NT-to play
14-16pts balanced,shows a hand with a singleton (S) And 4 hearts,,,4m- slam try
,,,3NT- exactly 1444 (only game values),Natural
,,,,
,,,,
,,3H- agrees hearts,3S- likely void (0436/0463),cue bid
,,,3NT- serious slam try,cue bid
,,,4C/4D- good suit,cue bid
,,,,
,,,,
,,3S/3NT- max/min with good (double) spade stop,"3NT- minimum, no slam interest",
,,,4C/4D- slam try,cue bid
,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?
,,,,
1NT,3D,3H/3S- natural looking for fit,"3NT/Raise- minimum, no fit/fit",
14-16pts balanced,5+ good/6+ suit club shortage,,"4C/4D- maximum, fit/no fit",cue bid
,,,(3S- over 3H is natural),
,,,,
,,,,
1NT,3H/3S,3NT/5C/5D- minimum,continuations show slam going hand,
14-16pts balanced,shortage with 5-4 in minors and 3 card major,,,
,,"4C/4D- maximum, slam try",New Suit – cue bid,cue bid
,,,,
,,UNBID MAJOR- suggests playing there if 3 card support (5431),4NT- 5-5,choose minor
,,,New Suit – cue bid,
,,,,
,,Raise of shortage major – choose a minor,4NT- slam try,
,,,,
,,,,
1NT,3NT,,,
14-16pts balanced,to play,,,
,,,,
,,,,
1NT,4C,4D- no preference,4H/4S- natural (choice),
14-16pts balanced,5-5 Majors game (only) or slam going,,4NT- RCKB,Appendix 4
,,,,
,,4H/4S- preference,4NT- RCKB,Appendix 4
,,,,
,,,,
1NT,4D,4H- openers only bid,New Suit – Exclusion Blackwood,Appendix 4
14-16pts balanced,transfer to 4H to play/ slam going,,4NT- RKCB,Appendix 4
,,,,
,,,,
,,,,
1NT,4H,4S- openers only bid,New Suit – Exclusion Blackwood,Appendix 4
14-16pts balanced,transfer to 4S to play/slam going,,4NT- RKCB,Appendix 4
,,,,
,,,,
,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?
,,,,
1NT,4S,4NT- no preference,5C/5D- natural (choice),
14-16pts balanced,both minors (6-5) game values only,,,
,,5C/5D- preference,,
,,,,
,,,,
1NT,4NT,"opener passes, bids a suit suggesting a good 5 card suit or raises",,
14-16pts balanced,invitational (likely 4333),,,
,,,,
